idHo,Ten_KH,Ten_TV,Mo_ta,idBo
11,Altingiaceae,Tô hạp,"Altingiaceae Lindl. 1846Cây gỗ lớn, mang chồi có vảy, rất đặc trưng bởi tuyến nhựa thơm. Lá xẻ thùy chân vịt, gân chân vịt hoặc lá nguyên có gân lông chim.Hoa trần, đơn tính, hợp lại thành cụm hoa đầu. Noãn nhiều trong mỗi ôThế giới có 2 chi, 12 loài, phân bố ở châu Á, Bắc Mỹ, Trung MỹỞ Việt Nam có 2 chi, 9 loài",38
12,Amaranthaceae,"Rau dền (Rau giền, Dền)","Amaranthaceae Juss. 1789Cây thảo. Lá đơn mọc cách không lá kèm.Cụm hoa bông ở nách lá hay đầu cành, dạng bông kê hay dạng mào gà, có lá hoa và lá hoa con khô xác. Hoa đều lưỡng tính hay đơn tính; bao hoa đơn 4 - 5 lá đài khô xác; bầu 1 ô, 1 vòi, có 1 - 3 đầu nhụy.Quả nang (quả hạch khô, đôi khi là quả hộp do nang mở bằng nắp) hay mọng có các lá đài tồn tạiThế giới có 65 chi và 900 loài, phân bố toàn cầuViệt Nam có 15 chi, 30 loài.Phân loại: Amaranthoideae: (Celosieae, Amaranthaceae), Gomphrenoideae: (Ulinnaeuceae, Gompharaceae)Giá trị kinh tế: Làm cảnh, làm rau, hạt làm lương thực (Amaranthus spp.). ",11
13,Amaryllidaceae,Náng; Thủy tiên,"Họ Loa kèn đỏ (danh pháp khoa học: Amaryllidaceae) là một họ trong thực vật có hoa. Họ này chủ yếu là các loại cây thân thảo sống lâu năm, mọc ra từ thân hành, thông thường có hoa sặc sỡ. Họ này chứa khoảng 60-70 chi, với khoảng trên 800 loài. Một vài chi hay được trồng trong vườn.Họ Amaryllidaceae được công nhận, với các định nghĩa khác nhau, trong phần lớn các hệ thống phân loại có trong thế kỷ 20, mặc dù hệ thống Cronquist lại gộp nó trong họ Liliaceae định nghĩa rộng. Hai họ này theo truyền thống được tách ra nhờ bầu nhụy, với bầu nhụy hạ ở Amaryllidaceae và bầu nhụy thượng ở Liliaceae. Hệ thống APG II (2003) lại gộp họ Amaryllidaceae trong họ Alliaceae  nhưng cho phép tách ra như một họ độc lập, đều thuộc bộ Asparagales của nhánh monocots. Hệ thống APG  năm 1998 thì công nhận họ này như là một họ tách rời.Fay và Chase (1996) lại gộp chi Agapanthus trong họ Amaryllidaceae (dưới phân họ Agapanthoideae) nhưng hệ thống APG II lại gộp chi Agapanthus vào trong họ Alliaceae, nhưng có thể tách ra để tạo ra một họ riêng gọi là Agapanthaceae. Chi Agapanthus khác với các loài trong họ Amaryllidaceae ở chỗ nó có bầu nhụy thượng.",5
14,Anacardiaceae,Xoài (Đào lộn hột),"Anacardiaceae Lindl. 1830Mô tảCây có nhựạ thơm đặc biệt. Lá nguyên, dài, dày thường tập trung ở tận cùng, không lá kèm.Hoa nhỏ và nhiều tập hợp thành cụm hoa chuỳ ở đầu cành. Hoa đều lưỡng tính hay đơn tính. Nhị thường gấp 2 hay bằng số cánh hoa, đĩa tuyến mật hình vòng. Bộ nhụy thường gồm 3 lá noãn hợp nguyên (syncarp), đôi khi lá noãn 1, hoặc 4-6, rời nhau.Quả hạch có nhân cứng, vỏ quả ngoài nạc mong, phôi congThế giới có 100 chi, 1200 loài, phân bố ở Chủ yếu ở vùng nhiệt đới và á nhiệt đớiPhân loạiHọ này chia làm 4 tông trên cơ sở sự khác nhau về số lượng, mức độ dính của các lá noãn: Anacardieae có 5 lá noãn rời, đôi khi có 1 lá noãn và lá đơn ví dụ như Xoài và Đào lộn hột; Spondieae: hoa có 4 hoặc 5 lá noãn hợp; Semecarpeae: 3 lá noãn hợp tạo thành bầu dưới; Rhoideae: hoa có 3 lá noãn hợp tạo thành bầu trên. Họ này có quan hệ với các họ: Sapindaceae, Aceraceae, Hippocastanaceae, Burseraceae và Julianiaceae. Hai họ sau có những đặc điểm về nhựa chung với họ Anacardiaceae.Việt Nam có 25 chi, 70 loài.Các chiTheo APG II, họ này chứa khoảng 70 chi với khoảng 600 loài, đôi khi được chia thành hai phân họ là Spondoideae (đồng nghĩa: Spondiadaceae) với khoảng 10 chi và 115 loài và Anacardioideae với khoảng 60 chi và 485 loài.Actinocheita
Amphipterygium (bao gồm cả Juliania)
Anacardium: đào lộn hột
Androtium
Antrocaryon
Astronium (bao gồm cả Myracrodruon)
Blepharocarya
Bonetiella
Bouea (bao gồm cả Tropidopetalum)
Buchanania (bao gồm cả Coniogeton)
Campnosperma (bao gồm cả Cyrtospermum)
Campylopetalum
Cardenasiodendron
Choerospondias
Comocladia
Cotinus: cây hoa khói
Cyrtocarpa (bao gồm cả Dasycarya)
Dobinea (bao gồm cả Podoon)
Dracontomelon
Drimycarpus (bao gồm cả Comeurya)
Euleria
Euroschinus
Faguetia
Fegimanra
Gluta (bao gồm cả Melanorrhoea, Stagmaria, Syndesmis)
Haematostaphis
Haplorhus
Harpephyllum
Heeria (bao gồm cả Anaphrenium)
Holigarna
Koordersiodendron
Lannea (bao gồm cả Lanneoma, Odina, Scassellatia)
Laurophyllus (bao gồm cả Botryceras)
Lithraea (cách viết khác Lithrea
Loxopterigium (bao gồm cả Apterokarpos)
Loxostylis
 Mangifera (bao gồm cả Phanrangia): xoài
Mauria
Melanochyla
MetopiumMicronychia
Mosquitoxylum
Nothopegia
Ochoterenaea
Operculicarya
Orthopterygium
Ozoroa
Pachycormus (bao gồm cả Veatchia)
Parishia
Pegia (bao gồm cả Phlebochiton)
Pentaspadon (bao gồm cả Microstemon, Nothoprotium)
Pistacia: hồ trăn
Pleiogynium
Poupartia
Protorhus
Pseudosmodingium
Pseudospondias
Rhodosphaera
Rhus (bao gồm cả Duckera, Malosma, Melanococca, Neostyphonia, Searsia, Terminthia, Toxicodendron, Trujanoa): cây sơn, cây muối, cây sơn độc, thường xuân độc, sồi độc
Schinopsis (bao gồm cả Quebrachia)
Schinus (bao gồm cả Duvaua): tiêu Peru
Sclerocarya
Semecarpus (bao gồm cả Melanocommia, Nothopegiopsis, Oncocarpus)
Smodingium
Sorindeia (bao gồm cả Sorindeiopsis)
Spondias (bao gồm cả Allospondias, Skoliostigma, Solenocarpus): cóc
Swintonia (bao gồm cả Anauxanopetalum, Astropetalum)
Tapirira
Thyrsodium
Trichoscypha (bao gồm cả Emiliomarcetia)Công dụngLà nguồn tanin, quả ăn được (Mangifera indica, M. flava) và trồng làm cảnh (Mangifera foetida).",79
15,Ancistrocladaceae,Dây trung quân,"Ancistrocladaceae Walp. 1849Có nhiều điểm giống với Dipterocarpaceae: hoa đều, lưỡng tính, mẫu 5, cánh hoa xếp vặn, nhị 10 hoặc 5, quả khô nằm trong đài tồn, đồng trưởng thành cánh.Dây leo gỗ, trườn. Cành non hình móc câu. Lá đơn nguyên hình lưỡi mác dài hay mác ngược, mọc cách, tập trung thành từng cụm đầu cành, có chấm cả 2 mặt.Hoa đều, lưỡng tính, mẫu 5.Quả dài có 5 đài phát triển thành cánh lớn.Thế giới có 1 chi, 20 loài, phân bố ở Nam và phần lục địa Đông Nam Á, ở nhiệt đới Tây Phi.Việt Nam có 3 loài.Phân loại: trước đây nó được gộp vào Dipterocapaceae, có quan hệ với Violaceae và OchnaceaeGiá trị kinh tế: Thuốc, lá để lợp nhà không bị cháy (Ancistrocladus spp.).",86
16,Anisophyllaceae,Bất đẳng diệp,"Anisophyllaceae Rild. 1922Cây gỗ hoặc cây bụi, quan hệ gần với Rhizophoraceae (họ Đước): đài hợp thành ống với 4-5 thùy, đỉnh mỗi cánh hoa xẻ thành 5-6 thùy hinh dải, có triền quanh nhị. Điểm khác với họ Đước là lá mọc cách, không có lá kèm, bộ nhị diplostemon, vòi nhụy rời, mỗi ô bầu chỉ chứa 1 noãn.Thế giới có 2 chi, 25 loài, phân bố ở châu Mỹ, châu Phi và châu ÁViệt Nam có 1 chi 1 loài: Bất đẳng diệp Anisophyllea penniervata",55
17,Anisophylleaceae,,"Cây gỗ hay bụi. Gần với họ Đước Rhizophoraceae (đài hợp thành ống với 4-5 thùy, đỉnh mỗi cánh hoa xẻ thành 5-6 thùy hình dài, có triền quanh nhụy...), nhưng ở, đây lá mọc cách, không có lá kèm. bộ nhị diplostemon, vòi nhụy rời, mỗi ô bầu chỉ chứa 1 noãn.Có 2 chi 25 loài, ở châu Mỹ, châu Phi và châu Á. Ở Việt Nam có 1 chi Anisophyllea (Anisophyllum ). 1 loài ( Anisophyllea penninervata ).",15
18,Annonaceae,Na (Mẵng cầu),"Gỗ, bụi hoặc dây leo thân gỗLá đơn, mọc cách, không có lá kèm, mép lá nguyênBao hoa thường mẫu 3 (K3C3+3) có khi thay đổi (K2C2+2 hoặc K3C3 hoặc K4C4+4)Nhị và lá noãn thường nhiều và xếp xoắnQuả thường gồm những phân quả rời nhau ở trên cường rõ, hiếm khi phân quả dính nhau thành khối nạcHạt có nội nhũ cuốn.Thế giới có 120 chi, 2000 loài, phân bố ở các nước châu Á, châu Mỹ, châu Phi và ít khi ở châu Úc.Việt Nam có 29 chi và khoảng 175 loài",48
19,Apiaceae,"Hoa tán, Ngò","Apiaceae - Họ Hoa tán:Cây thân thảo với thân thường có dóng rỗng. Lá đơn chia thùy có khi chẻ thùy lông chim 1 hay nhiều lần, mọc cách, không có lá kèm, thường có mùi thơm. Cuống phình ra hình bẹ ôm lấy thân.Cụm hoa tán đơn hay tán kép (tán gồm nhiều tán), có lá hoa tạo thành một vòng tổng bao. Hoa nhỏ đều hay không đều do cánh hoa các hoa xung quanh phát triển lệch. Hoa lưỡng tính hay đa tính; mẫu 5; 4 vòng. Nhị đẳng số và xếp xen kẽ với cánh hoa. Bộ nhụy 2 lá noãn dính ở mặt trong, 2 vòi tự do với đầu nhụy hơi phồng lên. Đỉnh bầu có đĩa mật loe.Quả bế thường có cánh dẹt do hai mảnh ghép lại, khi chín thì tách thành 2 quả bế dính nhau ở đỉnh.Thế giới có 300 chi và 3000 loài, phân bố hầu như khắp thế giới, nhất là vùng ôn đới núi cao.Phân loại: Họ này chia làm 3 phân họ và rất nhiều tông. Phân họ Hydrocotyloideae có vỏ quả trong hóa gỗ, không có chuôi quả tự do, không có rãnh trên quả và có lá kèm, có 2 tông: Hydrocotyleae và Mulinnaeceae. Phân họ Saniculoideae thì vỏ quả trong xốp, gốc vòi được bao bởi địa tuyến, các rãnh trên quả khác nhau, có 2 tông: Saniculeae (bầu 2 ô, quả 2 hạt, có Sanicula, Eryngium) và Lagoecieae (bầu 1 ô, quả 1 hạt); Phân họ Apioideae có quả trong xốp, đôi khi cứng, vòi ở trên đỉnh của đĩa, không có lá kèm, có các tông: Echinophoreae, Scandiceae, Coriandreae, Smyrnieae, Apieae, Peucedaneae, Laserpieae, Dauceae. Họ này thường được kết hợp với Araliaceae thành bộ Apiales. Giữa 2 họ Araliaceae và Apiaceae khó có sự phân biệt về các dấu hiệu của cơ quan sinh sản và cơ quan dinh dưỡng cũng như những dấu hiệu về sinh hóa và hạt phấn. Có thể hai họ này xuất phát từ tổ tiên chung. Họ Cornaceae được xem như họ hàng với hai họ trên. Tất cả các họ đó xuất phát từ Hamamelidales, Rosales, Myrtales hoặc Rhamnales. Những nghiên cứu hiện nay cho rằng mối liên quan giữa Cornales và Rosales và giữa Apiales với Sapindales.Công dụng: Là thức ăn quan trọng, ví dụ như Cà rốt (Daucus carota), làm thuốc (Angelica spp., Ligusticum spp.), làm gia vị (Eryngium foetidum, Coriandrum sativum), là nguồn cung cấp nhựa, mỹ phẩm và cây làm cảnh. ",14
20,Apocynaceae,"Trúc đào, Trước đào","Apocynaceae - Họ Trúc đào:Cây gỗ, bụi, có khi là dây leo hoặc cỏ. Cây có nhựa mủ trắng. Lá đơn, nguyên, mọc đối hay mọc vòng, không lá kèm (ít khi mọc cách).Hoa đều, lưỡng tính, mẫu 5, xếp thành chùm gồm nhiều cụm hoa đơn vị xim. Lá đài thường có vảy tuyến. Cánh hoa có 5 thùy ở phần trên, xếp xoắn ốc và hợp lại ở dưới thành ống. Ống tràng có phần phụ ở phía trong, thùy tràng xếp vặn (ít khi xếp lợp). Nhị đẳng số, đính trên ống tràng và xen kẽ với các thùy của tràng. Chỉ nhị ngắn hình mũi tên, bao phấn dài nhọn chụm lại ở đỉnh hay dính với đầu nhụy. Có triền hình vòng hay hình chén hoặc là những tuyến mật riêng rẽ. Bộ nhụy thường gồm 2 lá noãn, các lá noãn thường chỉ dính ở gốc hoặc ở đỉnh vòi, với núm nhụy phình rộng. Hạt phấn rời. Đĩa tuyến mật bao quanh bầu. Bầu dưới có hai lá noãn chỉ gắn liền với nhau ở phần trên.Quả gồm 2 đại dài hay hình cầu choãi ra, hoặc quả khô không mở. Hạt thường có cánh hay có chùm lông ở 1 hoặc ở cả 2 đầu.Thế giới có 200 chi và 2000 loài, phân bố ở vùng Nhiệt đới và Cận nhiệt đới.Việt Nam có 50 chi và khoảng 170 loài.Phân loại: Có hai phân họ: Phân họ Plumerioideeae với các nhị rời khỏi đầu nhụy, bao phấn đầy ắp các hạt phấn, hạt thường không có lông. Phân họ Apocynoideae có nhị dính với đầu nhụy, bao phấn rỗng ở gốc, hạt có lông. Họ này gần với họ Thiên lý.Giá trị kinh tế: Làm thuốc (Strophanthus, Rauvolfia), lấy cao su, làm cảnh (Nerium, Plumea, Allamanda). ",32
21,Aponogetonaceae,"Choi (Rong lá liễu, Thông pín ngầu)","Aponogetonaceae Agardh 1858Họ Thủy ung (danh pháp khoa học: Aponogetonaceae) là một họ thực vật có hoa. Trong vài chục thập niên vừa qua, họ này được các nhà phân loại học công nhận rộng khắp.Hệ thống APG II năm 2003 (không đổi từ hệ thống APG năm 1998) cũng công nhận họ này và đặt nó trong bộ Trạch tả (Alismatales) của nhánh monocots=[thực vật một lá mầm]. Họ này chỉ chứa một chi là Aponogeton với khoảng 40-45 loài thực vật thủy sinh, phân bổ tại khu vực nhiệt đới Cựu thế giới. Các lá đơn, mọc so le, thuộc dạng dị hình, nghĩa là các lá nổi và lá ngầm dưới nước có hình dạng khác nhau. Lá chứa các khí khổng, phiến lá chứa các tinh thể oxalat canxi. Hoa lưỡng tính, mọc thành cụm, thông thường chồi lên trên mặt nước thành 1-3 cành hoa. Hoa có mật hoa, thụ phấn nhờ côn trùng. Quả là dạng quả đại không có nhiều cùi thịt. Hạt không có nội nhũ mà chứa tinh bột.Cây thuỷ sinh chìm có căn hành dạng củ và thân rễ. Lá dạng bản hình thước, gốc hình tim hay tù.Cụm hoa bông xòe ra 2 nhánh đối nhau ở đỉnh, hoa thường phát về một phía của trục cụm hoa, cuống chung dài nổi trên mặt nước. Hoa mẫu 3 có 3 - 6 lá noãn rời với 2-8 noãn gần như dính ở mép lá noãnQuả nhiều đạiThế giới có 1 chi 4 loài, phân bố ở Vùng nhiệt đới và ôn đới ấm của cổ thế giới, mọc trong sinh cảnh nước và bùn lầy.Việt Nam có 1 chi, 3 loàiPhân loại: Họ này có họ hàng với Potamogetonaceae, Najadaceae.Giá trị kinh tế: Làm môi trường sống của các loài động vật thuỷ sinh của của một vài loài ăn được, một số làm cảnh (Aponogeton distachyos), loài có giá trị thương mại là A. madagascarienssis.",2
22,Aquifoliaceae,"Bùi, Trâm bùi, Nhựa ruồi","Aquifoliaceae - Họ Bùi:Cây thân gỗ nhỏ hay cây bụi, cành non thường hình đa giác. Lá đơn, nguyên, mép có khía tù, thường mọc cách và không có lá kèm.Hoa mọc đơn độc hoặc thành cụm hoa xim tán nhỏ, ở nách lá hay đơn độc. Phần lớn hoa đều, nhỏ và đơn tính khác gốc, mẫu 4-5. Lá đài rất nhỏ hoặc không có ở hoa cái; cánh hoa hợp ở gốc và xếp lợp. Nhị đẳng số và xen kẽ với cánh hoa; không có triền.  Bộ nhụy gồm 4-5 lá noãn hợp syncarp (hợp nguyên lá noãn) thành bầu thượng 4-5 ô, mỗi ô chứa 1 noãn treo.Quả dạng hạch tạo thành tán. Hạt có nội nhũ nạc. Ngoại dạng nhiều loài Ilex khá giống với các loài Ixonanthes (họ Ixonanthaceae), nhưng ở chi sau hoa thường lưỡng tính, nhị 10-20 với chỉ nhị rất dài cuộn lại trong nụ, xếp thành triền và có quả nang.Thế giới có 3 chi và 440 loài, phân bố chủ yếu ở Bán cầu Bắc (vùng Nhiệt đới và ôn đới).Việt Nam có 15-16 chi và khoảng 30 loài.Phân loại: Họ này gần Celastraceae nhưng phân biệt bởi vắng đĩa mật hình vành ở gốc nhị và mỗi ô có 1 noãn.Giá trị kinh tế: Cho gỗ cứng quan trọng, một số làm cảnh do lá đẹp, lá cây chè đắng: Ilex paraguensis và I. latifolia dùng làm chè, trước đây được vua chúa Trung Hoa sử dụng, nay được dùng phổ biến ở nước ta, một số lấy dầu béo, lấy than: Eunymus. ",12
23,Araceae,Ráy (Môn),"Araceae Juss 1789Cây mọc đứng trong dầm hay ao hồ, loại sống bán thân có gai. Lá đơn nguyên hay xẻ lông chim, to, hình mũi tên có 2 tai kéo dài, cuống tạo thành bẹ. Loại trôi nổi có lá không cuống, phủ dầy lông trắng như nhung.Cụm hoa đựng trong một lá hoa gọi là mo. Hoa đơn tính hay lưỡng tính. Nếu hoa đơn tính thì bông đều nhau, nếu hoa lưỡng tính thì giữa phần hoa đực (ở trên) và phần hoa cái (ở dưới) bị thắt lại.Quả mọng.Thế giới có 110 chi, 2000 loài, phân bố ở Chủ yếu nhiệt đới, một vài loài ở ôn đớiViệt Nam có trên 30 chi, 135 loàiPhân loại: Họ này gần với Lemnaceae và phát sinh từ tổ tiên Liliales.Giá trị kinh tế: Nhiều loài ăn thân rễ: Khoai sọ, khoai nước (Colocasia esculenta); nhiều loài làm cảnh: Philodendron scandens (leo), Arum maculatum, Anthurium andreanum; nhiều cây làm thuốc (Homalomena occulta). ",2
24,Araliaceae,"Nhân sâm, Ngũ gia bì, Đinh lăng","Araliaceae - Họ Nhân sâm:Thường là cây thân gỗ, đôi khi là cây bụi hoặc bụi nhỏ. Thân cành thường có gai ít ra ở gốc, vỏ và lá thường có mùi thơm. Đặc trưng bởi có lá kèm và khi lá rụng để lại vết sẹo rõ trên cành bởi có rãnh tiết trong các cơ quan dinh dưỡng. Lá kép chân vịt hay lông chim nhiều lần, mọc cách gốc cuống lá phình thành bẹ ôm lấy thân.Cụm hoa gồm những tán đơn vị tạo thành chuỳ hay chùm. Hoa đều, lưỡng tính, mẫu 5. Nhị đẳng số (5-10) và xen kẽ với cánh hoa, ít khi số nhị gấp đôi hoặc nhiều bất định. Bầu dưới các cánh hoa rụng sớm nên ít nhìn thấy.Quả nang hay quả hạch 1 hạt trong mỗi ô.Thế giới có 70 chi và 900 loài, phân bố ở vùng Nhiệt đới và Cận nhiệt đới, ít khi có ở vùng Ôn đới.Việt Nam có trên 20 chi.Phân loại: Căn cứ vào đặc điểm cơ quan dinh dưỡng và sinh sản, người ta đã tách ra các chi quan trọng, ví dụ như: Hedera, Tetrapanax, Brassaiopsis, Trevesia có lá đơn thường chia thuỳ; trong khi đó Aralia, Polyscias, Acanthopanax, Panax, Schefflera lá kép. Họ này có quan hệ với Apiaceae và Cornaceae. Điều đó được thể hiện qua cụm hoa hình tán, hoa nhỏ, có một noãn trong mỗi ô, bầu dưới.Giá trị kinh tế: Dùng làm thuốc, nổi tiếng là Nhân sâm (Panax pseudogíneng), nhiều cây để làm cảnh (Polycias fruticosa). ",14
25,Araucariaceae,Bách tán,"Araucariaceae Henkel et W. Hochst. 1965Cây gỗ lớn; cành mọc vòng và trải ra. Lá hình bản hay hình kim rộng, tồn tại lâu trên cành. Nón đực hình trụ, nón cái thường rộng, hình cầu hay gần hình cầu, gồm những vẩy dai hoặc hóa gỗ, khi hạt chín thì tách ra và rụng. Noãn 1, rời.Gồm 2 chi Agathis và Araucaria ở Nam bán cầu cho tới Đông Nam Á.Họ này Việt Nam có 1 chi, 3 loài: chi Bách tán - Araucaria",64
26,Arecaceae,Cau (Cau dừa),"Arecaceae Schultz.-Sch. 1832Thân hình trụ dạng cột không phân nhánh thẳng đứng hay trườn. Lá lớn, có dạng lông chim như lá cau hay chân vịt như lá cọ, cuống thường có bẹ, mọc cách thường tập trung ở đỉnh.Hoa mẫu 3, bầu trên, tạo thành chùm lớn, phân nhánh, được bọc bởi một lá mo chung.Quả hạchThế giới có 212 chi, 2780 loài, phân bố ở Chủ yếu ở vùng nhiệt đới với một vài loài á nhiệt đới và rất ít ở ôn đới.Phân loại: Theo sự phân loại hiện nay được chia thành 15 nhóm thuộc 5 dòng tiến hoá.Xây dựng lại mô hình trong quá khứ chỉ ra rằng Nam Mỹ và Phi châu là một khối của Tây lục địa Gôndvana cho đến cuối kỷ Jura sau đó tách ra Đại Tây Dương khí hậu ấm vào đại Trung sinh và đầu Đệ Tam. Đó là điều kiện giúp cho sự tiến hoá của Cau Dừa. Các bằng chứng chứng minh nó tiến hoá rất sớm trong Một lá mầm. Sự giống nhau hoa Một lá mầm và Hai lá mầm chứng tỏ sự phân hoá theo hai hướng bằng sự tiêu giảm dẫn đến dạng cây thảo và sống ở nước.Giá trị kinh tế: Nhiều sản phẩm có giá trị kinh tế từ họ này như dầu dừa (Cocos nucifera), dầu cọ dừa (Elaeis guineensis), sợi (Caryota spp.), đồ mỹ nghệ (Calamus spp.), nhiều cây cảnh (Roystonia regia), lấy đường (Borassus flabellifer).",4
27,Aristolochiaceae,Mộc hương (Nam mộc hương),"Aristolochiaceae Juss. 1789Cây thảo trên mặt đất hay dây leo ở dưới tán rừng. Lá đơn nguyên hình tim, mọc cách không lá kèm. Hoa đơn mọc ở nách lá có mùi thịt thối, bao hoa đơn, phát triển dạng cánh hình ống cong hình chữ U thắt lại thành eo ở giữa, có 3 thuỳ đều hay không đều màu tím hay lục vàng, lưỡng tính, bầu dưới, có 6 - 4 ô mang 6 - 4 đầu nhụy. Quả nang có 6 cạnh mở thành 6 múi.Số chi / số loài: 7 / 625Phân bố: Nhiệt đới hay ôn đới ở châu Á, Phi Âu, MỹPhân loại: Thường là dây leo trong rừng, có 3 tông: Sarameae cây thảo, hoa đều đơn độc, Bragantieae cây bụi, hoa đều, chùm hay xim, không tràng, bầu dưới, Aristolochieae dây leo, hoa không đều, không tràng, nhị dính với vòi, bầu dưới. Gần với họ Magnoliaceae.Giá trị kinh tế: làm thuốc (Asarum spp., Aritolochia spp.)",65
28,Asclepiadaceae,Thiên lý,"Đa số là thân leo hay bò, một ít cây bụi, có nhựa mủ trắng. Lá đơn, nguyên, mọc đối, không có lá kèm.Cỏ hay cây bụi, có khi leo, thường có nhựa mủ, có khi nạc. Lá mọc đối, ít khi mọc vòng hay mọc so le, không có lá kèm. Hoa lưỡng tính, đều, đài xẻ 5, tràng hợp thường hình chuông hay hình bánh xe, có tiền khai van hay vặn, có phần phụ có hình dạng thay đổi; 5 nhị dính thành ống bao chặt lấy bầu, bao phấn 2 thùy, tận cùng bởi phần phụ dạng màng, chứa hạt phấn dính từng đôi hay bốn cái thành khối (khối phấn) treo vào những gót phấn, xen kẽ với các bao phấn, bầu gồm 2 lá noãn rời hay sít nhau lúc còn non, đầu nhụy tận cùng bởi một khối dày, có 5 góc xen kẻ với các bao phấn, quả kép gồm 2 đại chứa nhiều hạt. Hạt có mào lông, có nội nhũ nạc.Thế giới có 290 chi và 2000 loài, phân bố chủ yếu ở vùng Nhiệt đới, ít ở vùng Cận nhiệt đới và Ôn đới.Việt Nam có gần 50 chi và khoảng 110 loài.Phân loại: Có 2 phân họ: Periplocoideae và Cynanchoideae. Phân họ sau có 4 tông: Asclepieae, Secamoneae, Tylophoreae và Gonolobeae. Họ này gần với Apocynaceae nhưng tiến bộ hơn bởi có cấu trúc bộ nhị chuyên hóa.Giá trị kinh tế: Nhiều loài làm cảnh (Telosma cordata) và làm thuốc (Streptocaulon juventas). ",32
29,Asparagaceae,"Thiên môn, Măng tây, Măng leo","Họ Măng tây hay họ Thiên môn đông (danh pháp khoa học: Asparagaceae) là một họ trong thực vật có hoa. Họ này chỉ được rất ít các nhà phân loại học công nhận, nói chung các loài trong họ này hay được đưa vào trong họ Loa kèn (Liliaceae).Hệ thống APG II năm 2003 cũng công nhận họ này và đặt nó trong bộ Măng tây (Asparagales), thuộc nhánh monocots. APG II cũng có 2 tùy chọn để định nghĩa họ này:    * Asparagaceae sensu lato (nghĩa rộng), bao gồm tất cả các loài thực vật được liệt kê trong tùy chọn thứ hai dưới đây.
    * Asparagaceae sensu stricto (nghĩa hẹp), bao gồm chỉ 2 chi (là Asparagus và chi Hemiphylacus), với tổng số khoảng 165-295 loài. Định nghĩa này là sự tách ra của các họ sau:        * Họ Agavaceae
        * Họ Aphyllanthaceae
        * Họ Hesperocallidaceae
        * Họ Hyacinthaceae
        * Họ Laxmanniaceae
        * Họ Ruscaceae
        * Họ ThemidaceaeCác họ này được công nhận trong hệ thống APG năm 1998, ngoại trừ các họ Hesperocallidaceae và Ruscaceae là các họ 'mới'. Chỉ có rất ít các ấn bản chấp nhận định nghĩa rộng của APG II cho họ Asparagaceae, còn phần lớn chỉ công nhận định nghĩa hẹp cũng như công nhận các họ tách riêng ra như trên đây.Rất đặc trưng bởi ở đây có diệp chi (cành hình lá). Là cây dây leo bé hay cây bụi nhỏ. Lá dạng kim dài hay ngắn mọc cụm 2-5 cái một chỗ hoặc dạng bản dài.Hoa thường đơn tính, thường mọc trên diệp chi, mẫu 3 (P3+3A3+3G3). Có 6 cánh hoa, 6 nhị và nhụy lép. Hoa cái có bầu trên.Quả nạc hình cầu.Thế giới có 4 chi và 320 loài, phân bố ở vùng Nhiệt đới, Cận nhiệt đới và Ôn đới, nhiều nhất là ở Địa Trung Hải, ở Trung Á và Tây Á.Ở Việt Nam có 1 chi và 6 loài.Phân loại: Họ này trước đây để trong họ Liliaceae. Như vậy nó có quan hệ với Liliaceae và các họ lân cận.Giá trị kinh tế: Nhiều loài làm cảnh và làm thuốc (Asparagus cochinchinensis, A. officinalis).",5
