idBo,Ten_KH,Ten_TV,Mo_ta
11,Caryophyllales,Cẩm chướng,"Bộ Cẩm chướng (danh pháp khoa học: Caryophyllales) là một bộ thực vật có hoa. Theo cập nhật ngày 8 tháng 4 năm 2007  của hệ thống APG II thì bộ này chứa 33 họ với khoảng 692 chi và khoảng 11.155 loài.Caryophyllales chiếm khoảng 6,3% sự đa dạng của thực vật hai lá mầm (Magallön và ctv., 1999) và có thể đã xuất hiện từ thời kỳ của tầng Alba, 111-104 triệu năm trước (Ma) thuộc kỷ Phấn Trắng, mặc dù họ Rhabdodendraceae mãi tới khoảng 90-83 Ma (Wikström và ctv., 2001). Anderson và ctv. (2005: Rhabdodendraceae cũng được gộp vào) cho rằng các số liệu là 116-114 Ma cho nhóm phát sinh sớm của bộ Caryophyllales (nhóm thân cây) và 102-99 Ma cho nhóm phát sinh muộn (nhóm chỏm cây).
Theo định nghĩa của hệ thống APG II năm 2003 thì bộ này bao gồm nhiều loài thực vật được nhiều người biết rõ như xương rồng, cẩm chướng, rau bina, củ cải đường, đại hoàng, gọng vó và bông giấy. Các chứng cứ phân tử và hóa sinh học gần đây đã giải quyết quan hệ giữa các nhánh được hỗ trợ tốt bổ sung trong phạm vi bộ Caryophyllales.    * Bộ Caryophyllales        * Họ Achatocarpaceae: Khoảng 10 loài trong 2 chi (Achatocarpus và Phaulothamnus) ở khu vực từ tây nam Hoa Kỳ tới cận nhiệt đới Nam Mỹ.
        * Họ Aizoaceae - họ phiên hạnh, hoa đá
        * Họ Amaranthaceae – họ rau dền, rau rệu
        * Họ Ancistrocladaceae – họ Trung quân
        * Họ Asteropeiaceae: Một chi Asteropeia, ở Madagascar
        * Họ Barbeuiaceae: Họ mới so với APG, chỉ có một loài dây leo tại Madagascar với danh pháp Barbeuia madagascariensis.
        * Họ Basellaceae – họ Mồng tơi
        * Họ Cactaceae – họ Xương rồng
        * Họ Caryophyllaceae – họ Cẩm chướng
        * Họ Didiereaceae: - họ Xương rồng Madagascar, gồm 4 chi đặc hữu ở miền nam Madagascar.
        * Họ Dioncophyllaceae: Ba loài sinh sống trong khu vực rừng mưa Tây Phi là Dioncophyllum thollonii, Habropetalum dawei và Triphyophyllum peltatum.
        * Họ Droseraceae – họ Gọng vó
        * Họ Drosophyllaceae - họ Gọng vó Iberia, một loài duy nhất với danh pháp Drosophyllum lusitanicum sinh sốngtại khu vực bán đảo Iberia (Tây Ban Nha, Bồ Đào Nha) cũng như ở Morocco.
        * Họ Frankeniaceae: Vài trăm loài trong ít nhất là một chi (Frankenia).
        * Họ Gisekiaceae: Họ mới so với APG.
        * Họ Halophytaceae: Họ mới so với APG, chỉ có một loài cây thân thảo duy nhất với danh pháp Halophytum ameghinoi, sinh sống tại khu vực Patagonia (miền nam Nam Mỹ)
        * Họ Limeaceae với 2 chi (Limeum, Macarthuria) và khoảng 23 loài.
        * Họ Lophiocarpaceae với 2 chi (Corbichonia, Lophiocarpus) và khoảng 6 loài.
        * Họ Molluginaceae – họ Rau đắng đất
        * Họ Montiaceae với khoảng 10 chi (Claytonia, Hectorella, Lewisia, Montia, Montiopsis, Phemeranthus v.v)
        * Họ Nepenthaceae – họ Nắp ấm, sinh sống tại khu vực Cựu thế giới. Lưu ý còn một họ khác cũng gọi là họ Nắp ấm là họ Sarraceniaceae - họ Nắp ấm sinh sống tại khu vực Tân thế giới thuộc bộ Thạch nam (Ericales).
        * Họ Nyctaginaceae – họ Hoa giấy (bông phấn)
        * Họ Physenaceae: Họ đặc hữu Madagascar với khoảng 2 loài trong 1 chi Physena.
        * Họ Phytolaccaceae – họ Thương lục
        * Họ Plumbaginaceae – họ Bạch hoa đan (đuôi công)
        * Họ Polygonaceae – họ Rau răm
        * Họ Portulacaceae – họ Rau sam
        * Họ Rhabdodendraceae: Hai đến ba loài trong một chi Rhabdodendron, vùng nhiệt đới Nam Mỹ.
        * Họ Sarcobataceae: Một đến hai loài trong chi Sarcobatus, trước đây coi thuộc về họ Rau muối (Chenopodiaceae). Bản thân họ Rau muối này hiện nay đa phần được coi là một phân họ trong họ Dền.
        * Họ Simmondsiaceae: Một loài cây bụi (Simmondsia chinensis) ở Bắc Mỹ.
        * Họ Stegnospermataceae: Khoảng ba loài trong một chi (Stegnosperma) ở Trung Mỹ và Caribe.
        * Họ Talinaceae với 2 chi (Talinella, Talinum) và khoảng 22 loài
        * Họ Tamaricaceae- Họ Thánh liễu (sanh liễu, dương liễu ??)
        * Các chi không xếp vào họ nào: 3-8 chi với khoảng 32 loài, bao gồm Anacampseros, Avonia, Grahamia.Hệ thống Cronquist năm 1981 cũng công nhận bộ này, với định nghĩa sau:    * Bộ Caryophyllales          Họ Achatocarpaceae
          Họ Aizoaceae
          Họ Amaranthaceae
          Họ Basellaceae
          Họ Cactaceae
          Họ Caryophyllaceae
          Họ Chenopodiaceae
          Họ Didiereaceae
          Họ Nyctaginaceae
          Họ Phytolaccaceae
          Họ Portulacaceae
          Họ MolluginaceaeKhác biệt với các bộ mà APG công nhận là do khái niệm về ""bộ"". APG ưa thích các bộ và họ lớn vì thế bộ Caryophyllales theo nghĩa của APG có thể so sánh với phân lớp Caryophyllidae theo nghĩa của Cronquist.Một phần của khác biệt nằm ở chỗ các họ nào được công nhận. Các chi, loài thực vật trong các họ Stegnospermataceae và Barbeuiaceae đã được gộp chung trong họ Phytolaccaceae trong hệ thống Cronquist. Họ Chenopodiaceae (cũng được Cronquist công nhận) được APG đưa vào trong họ Amaranthaceae.Các bộ phận mới trong bộ này (theo nghĩa của APG) là các họ Asteropeiaceae và Physenaceae, mỗi họ chỉ có một chi, cùng hai chi lấy từ bộ Nepenthales của hệ thống Cronquist."
12,Celastrales,Chân danh,"Bộ Chân danh hay còn gọi là Bộ Dây gối (danh pháp khoa học: Celastrales, đồng nghĩa: Brexiales Lindley, Parnassiales  Nakai, Celastranae Takhtadjan, Celastropsida  Brongniart) là một bộ thực vật trong thực vật có hoa, nằm trong phạm vi nhánh hoa Hồng (rosids) của nhánh thực vật hai lá mầm. Bộ này chứa khoảng 94 chi với từ 1.200  tới 1.355 loài  trong 3-4 họ như liệt kê dưới đây
Miêu tảBộ Celastrales là bộ đa dạng nhưng không có các đặc trưng độc đáo rõ nét và kết quả là rất khó nhận dạng. Hoa của chúng thường nhỏ với đĩa mật dễ thấy. Các lá kèm nhỏ hay đôi khi không có. Lớp vỏ bọc noãn có 2 lỗ và vì thế còn được gọi là hai khí khổng. Các hoa với các bộ phận đực và cái phát triển tốt thường là đơn tính về mặt chức năng. Hạt thường có áo hạt. Ở dạng chồi, các lá đài có kiểu sắp xếp nanh sấu. Điều này có nghĩa là 2 lá đài ở mặt trong, 2 ở mặt ngoài và lá đài còn lại có một mặt được che phủ và một mặt phơi ra.Mối quan hệCó lẽ đặc điểm rõ nhất và bất thường nhất của bộ Celastrales là đĩa mật, một đặc trưng chia sẻ với một bộ khác trong nhánh hoa Hồng là bộ Bồ hòn (Sapindales). Do hai bộ này không có mối quan hệ phát sinh loài gần nhau nên đĩa mật phải là sự phát triển độc lập trong cả hai nhánh này.Celastrales là thành viên của nhánh COM của Fabidae, với Fabidae là một trong hai nhóm của nhánh hoa Hồng. Nhánh COM bao gồm 3 bộ là Celastrales, Oxalidales, Malpighiales cùng 1 họ không xếp bộ là Huaceae. Khó nhận thấy một điểm nào chung giữa 4 phần của nhánh COM.Tên gọi Celastraceae lần đầu tiên do Thomas Baskerville sử dụng vào năm 1839. Trong khoảng thời gian kể từ khi Baskerville lần đầu tiên định nghĩa bộ này cho tới thế kỷ 21 thì vẫn có các khác biệt lớn trong ý kiến về việc những gì nên đưa vào bên trong bộ và bên trong họ lớn nhất của bộ là họ Celastraceae. Họ Celastraceae là nhóm duy nhất luôn được mọi tác giả đặt trong bộ. Do tính mơ hồ và sự phức tạp trong định nghĩa nó nên họ Celastraceae đã trở thành một nền tảng ""đống rác"" cho các chi với mối quan hệ mơ hồ. Một vài chi từng được gán vào họ này với sự nghi vấn đáng kể về việc chúng có thực sự thuộc về họ này hay không. Bên cạnh đó, một vài chi mà đúng ra thuộc về họ này (Celastraceae) đã từng được đặt ở những nơi khác.Vào cuối thế kỷ 20, hai chi Goupia và Forsellesia đã bị loại khỏi họ Celastraceae và khỏi bộ Celastrales. Goupia hiện nay trong bộ Malpighiales. Forsellesia hiện nay trong bộ Crossosomatales. Chi này hiện vẫn là chủ đề tranh luận về việc tên gọi chính xác của nó là Forsellesia hay Glossopetalon.Sau khi bị đặt ở những nơi khác, các chi Canotia, Brexia, Plagiopteron được phát hiện là thuộc về họ Celastraceae. Họ Hippocrateaceae được phát hiện là xếp lồng sâu bên trong phạm vi họ Celastraceae và vì thế nó không còn được coi là họ tách biệt nữa.Năm 2000, Vincent Savolainen và ctv. đã phát hiện thấy 3 họ Lepidobotryaceae, Parnassiaceae và Celastraceae có mối quan hệ họ hàng gần họ cho rằng chúng nên là các bộ phận hợp thành của bộ Celastrales. Họ cũng loại chi Lophopyxis ra khỏi bộ Celastrales. Lophopyxis hiện nay tạo thành một họ đơn chi trong bộ Malpighiales. Trong nghiên cứu ADN năm 2001, Mark Simmons và ctv xác nhận mọi kết quả trên, ngoại trừ vị trí của Lophopyxis và Lepidobotryaceae là những gì họ không lấy mẫu.Năm 2006, Li-Bing Zhang và Mark Simmons đã tạo ra cây phát sinh loài của bộ Celastrales dựa trên ADN ribosome nhân và lạp lục. Các kết quả của họ chỉ ra rằng Bhesa và Perrottetia đã bị đặt sai chỗ trong họ Celastraceae. Bhesa hiện nay thuộc bộ Malpighiales còn Perrottetia thuộc bộ Huerteales. Zhang và Simmons cũng thấy rằng Pottingeria và Mortonia có quan hệ họ hàng gần gũi với các họ Parnassiaceae và Celastraceae, nhưng không thuộc về cả hai họ này. Hai chi này vì thế chỉ thuộc bộ Celastrales. Họ thấy rằng Siphonodon và Empleuridium là các thành viên thật sự của họ Celastraceae, loại bỏ nghi vấn đáng kể về vị trí của chúng tại đây. Họ cũng chỉ ra rằng họ nhỏ Stackhousiaceae, bao gồm 3 chi, nên được gắn vào trong Celastraceae. Phần lớn các kết quả này đều được xác nhận trong cây phát sinh loài thứ hai của bộ Celastrales, do Mark Simmons và ctv tạo ra năm 2008.Nicobariodendron sleumeri, thành viên duy nhất của chi này, vẫn tiếp tục là điều bí ẩn. Nó là cây gỗ nhỏ có trên quần đảo Andaman và Nicobar của Ấn Độ. Người ta biết rất ít về nó và nó chưa bao giờ được lấy mẫu cho thử nghiệm ADN. Nói chung người ta cho rằng nó thuộc về bộ Celastrales nhưng điều này không phải là sự chắc chắn.Phân loạiCác phân loại mới bao gồm 3-4 họ như sau:    * Họ Celastraceae (dây gối): khoảng 1.350 loài trong 92 chi. Phân bổ tại Nam Mỹ, nhiệt đới và ôn đới ấm Bắc Mỹ, châu Âu tới dãy Ural, châu Phi khu vực hạ Sahara, Đông Nam Á, miền đông và nam Trung Quốc, Australia, Papua New Guinea. Họ Parnassiaceae với khoảng 51 loài trong 2 chi (chi Parnassia 50 loài), phân bổ tại khu vực ôn đới Bắc bán cầu, 1 loài (Lepuropetalon spathulatum) tại đông nam Hoa Kỳ, Mexico và Chile là tùy chọn được tách ra hay nhập vào trong họ Dây gối.
    * Họ Lepidobotryaceae: 2 chi với 2-3 loài, trong đó Lepidobotrys staudtii tại Đông Phi và Ruptiliocarpon caracolito mọc thưa thớt tại Trung và Nam Mỹ.
    * Họ Pottingeriaceae: 1 loài Pottingeria acuminata tại Assam và đông bắc Thái Lan. Đôi khi được xếp thành phân họ Pottingerioideae (theo Airy Shaw và ctv, 1973) của họ Celastraceae. "
13,Commelinales,Thài lài,"Bộ Thài lài (Commelinales) là một bộ thực vật một lá mầm, trong đó bao gồm họ thài lài (Commelinaceae). Một điều không may là thành phần của bộ phận còn lại trong nhóm đã thay đổi rất nhiều giữa các hệ thống phân loại.Trong hệ thống Cronquist bộ này được đặt trong phân lớp Commelinidae của lớp Liliopsida và bao gồm họ Commelinaceae cùng 3 họ bổ sung sau đây:    * Rapataceae
    * Xyridaceae
    * MayacaceaeTuy nhiên, nhiều tác giả hiện nay cho rằng các họ này có quan hệ họ hàng gần gũi hơn với các nhóm khác, như APG, đã chuyển cả 3 họ này vào bộ Hòa thảo (Poales).Ngược lại, một loạt các dạng trước đây được phân loại trong bộ Loa kèn (Liliales) đã được công nhận là có quan hệ gần gũi hơn với Commelinidae, và vì thế hoặc là được nhóm vào bộ Commelinales hoặc đưa vào bộ riêng, có thể là bộ đa ngành với tên gọi Philydrales.Theo cập nhật của APG II thì các họ được đưa vào Commelinales là như sau:    * Commelinaceae: Họ Thài lài
    * Haemodoraceae: Họ Huyết bì thảo
    * Hanguanaceae: Họ Thuốc giun
    * Philydraceae: Họ Cỏ đuôi lươn
    * Pontederiaceae: Họ Bèo lục bìnhSự thay đổi trong quan hệ thành viên này tạo ra sự rất khó xác định các đặc trưng của bộ Commelinales (ngoại trừ họ Commelinaceae và các họ hàng gần của nó)."
14,Cornales,Hà bá,"Bộ Sơn thù du (danh pháp khoa học: Cornales) là một bộ trong thực vật có hoa và là bộ cơ bản trong phân nhóm Cúc, tạo thành một phần của thực vật hai lá mầm. Trong phân loại của APG thì bộ này bao gồm 7 họ, 51 chi và 590 loài như sau:    * Họ Cornaceae (họ sơn thù du)
    * Họ Curtisiaceae
    * Họ Grubbiaceae
    * Họ Hydrangeaceae (họ tú cầu, tử dương hay bát tiên)
    * Họ Hydrostachyaceae
    * Họ Loasaceae
    * Họ Nyssaceae (họ lam quả)Trong hệ thống Cronquist cũ thì bộ này chứa các họ Cornaceae, Garryaceae và Alangiaceae và được đặt trong phân nhóm Hoa hồng."
15,Cucurbitales,Bầu bí,"Bộ Bầu bí (danh pháp khoa học: Cucurbitales) là một bộ thực vật có hoa, nằm trong nhánh hoa Hồng (rosids) của thực vật hai lá mầm thật sự. Bộ này chủ yếu có mặt tại khu vực nhiệt đới, với một lượng rất hữu hạn tại khu vực cận nhiệt đới và ôn đới. Bộ này có một số ít các loại cây bụi hay cây thân gỗ còn chủ yếu là cây thân thảo hay dây leo. Một trong các đặc trưng đáng chú ý của bộ Cucurbitales là sự có mặt của hoa đơn tính, phần lớn là 5 cánh, với các cánh hoa nhọn và dày (Matthews và Endress, 2004). Thụ phấn chủ yếu nhờ côn trùng, nhưng cũng có thể nhờ gió (các họ Coriariaceae và Datiscaceae).Bộ này có khoảng 2.300 loài trong 7 họ và 129 chi. Các họ lớn nhất là Begoniaceae với 1.400 loài trong 2-3 chi và họ Cucurbitaceae với 825-845 loài trong 118 chi.Các họ lớn của bộ Cucurbitales chứa một số loài có tầm quan trọng kinh tế. Đặc biệt, họ Cucurbitaceae chứa một số loài được biết đến nhiều như bầu (Lagenaria siceraria), bí ngô (chi Cucurbita), mướp (chi Luffa), dưa hấu (Citrullus vulgaris), dưa vàng (Cucumis melo) và dưa chuột (Cucumis sativus). Họ Begoniaceae (thu hải đường) được biết đến vì có trên 130 loài được trồng làm cảnh.
[sửa] Phân loạiTrong hệ thống Cronquist cũ thì các họ Cucurbitaceae, Begoniaceae, Datiscaceae, Tetramelaceae được đặt trong bộ Hoa tím (Violales), trong phạm vi phân lớp Sổ (Dilleniidae), với họ Tetramelaceae gộp lại trong họ Datiscaceae. Các họ còn lại được sắp xếp trong các bộ khác. Phân loại trong bài này lấy theo APG II (2003).Quan hệ phát sinh loài trong bộ Bầu bí.    * Anisophylleaceae: Khoảng 34 loài trong 4 chi, phân bổ tại khu vực miền bắc Nam Mỹ, Trung Phi, miền nam Ấn Độ, Malaysia và Indonesia.
    * Begoniaceae: Họ thu hải đường. Phân bổ chủ yếu tại Trung Mỹ, Nam Mỹ, châu Phi (khu vực hạ Sahara), Ấn Độ, Trung Quốc, Đông Nam Á.
    * Coriariaceae: Họ mã tang. Khoảng 6 loài trong 1 chi, phân bổ tại các đảo nam Thái Bình Dương, bán đảo Iberia, miền nam Trung Quốc, Nhật Bản, Trung và Nam Mỹ, dọc theo dãy Andes.
    * Corynocarpaceae: Khoảng 6 loài trong 1 chi, phân bổ tại Papua New Guinea, hạn chế ở miền đông Australia.
    * Cucurbitaceae: Họ bầu, bí, mướp. Phân bổ rộng khắp, chủ yếu tại khu vực nhiệt đới và ôn đới.
    * Datiscaceae: Khoảng 2 loài trong 1 chi. Phân bổ tây nam Hoa Kỳ, Kavkaz, Trung Á.
    * Tetramelaceae: Họ thung (đăng, tung). Hai loài trong 2 chi, phân bổ Đông Nam Á và Papua New Guinea."
16,Cyatheales,Dương xỉ mộc,
17,Cycadales,Tuế,"Common names
Cycads.
Taxonomic notes
The most primitive extant gymnosperm order, the Cycadales contain (in this treatment) 206 species in the suborders Cycadineae (family Cycadaceae, 47 spp.) and Zamiineae (families Stangeriaceae, 3 spp., and Zamiaceae, 156 spp.).Due to their largely tropical distribution and tendency toward endemism, some species are undescribed and others, doubtless, undiscovered. The systematics of some genera are poorly understood (1).See also (3).
Description
Woody, long-lived, unisexual plants. Main roots thickened, fleshy, often tuberous. All species have coralloid roots that are N-fixing due to symbiotic blue-green algae. Stems may be underground or emergent. In most species, leaves are once-pinnate and form a palm-like crown. Leaves of Stangeria are fern-like, while those of Bowenia are bipinnate. Reproductive structure a large cone. The Cycadales and Ginkgoales are unique among seed plants in having motile sperm (1).
Range
Tropical and subtropical latitudes in the Americas, Caribbean, sub-Saharan Africa, Madagascar, eastern India, China, Japan, southeast Asia, Oceania and Australia. Some species are frost-tolerant (1).
Big Tree
With trunks up to 20 m tall and 50 cm in diameter, Lepidozamia hopei is probably the tallest individual cycad. Both Encephalartos laurentianus and Macrozamia dyeri achieve diameters of 100 cm; the former with heights (or lengths, as it is often decumbent) to 15 m, is the most massive of cycads. Moreover, it often grows in clumps.
Oldest
Ages up to 2000 years have been speculated by extrapolating short-term leaf production rate to the number of leaf scars found on the trunk (2).
Dendrochronology
Cycad stem growth is similar to that of monocots, so dendrochronology is impossible.
Ethnobotany
Parts of all plants are poisonous, but many peoples have learned how to cope with this and use the seeds as a food source. Such use is recorded thoughout the range of Cycas (southeast Asia) and has also been made of species of Dioon (Mexico), Encephalartos (Africa) and Macrozamia (Australia). Stem starch (also called sago or arrowroot) has been used as a food source by native peoples in Africa, Florida, Australia, and most of the range of Cycas. It has been extracted on a commercial basis in Florida and New South Wales. Cycad poisons have a cumulative effect on livestock, which has led to efforts (fortunately ineffective, and now abandoned) to eradicate cycads in Australia. The poisons have been used to capture fish in southeast Asia. Historically, cycad poisoning was encountered by European immigrants in many areas. The leaves may be used as a substitute for palm fronds, usually as ornament. Many species are popular ornamentals.
Remarks
Cycads originated in Pangaea during the early Permian and reached their greatest abundance and diversity during the Jurassic, declining sharply during the Cretaceous radiation of the angiosperms. They are found at high paleolatitudes, although their present distribution is largely tropical and subtropical. Permian or Mesozoic fossils are known from Antarctica, Australia, China, Europe, Greenland, India, North America, and South Africa.Most cycads are threatened, endangered or extinct in the wild. All cycad genera are on Appendix 2 of CITES (the Convention on International Trade in Endangered Species) and many species are on Appendix 1. The principal cause of this condition is excessive collection, often conducted illegally by wealthy collectors and targeted at the rarest taxa. As of 1993, apart from CITES protections (and note that Mexico is not signatory to CITES), the only country actively protecting cycads is South Africa.Cycad stems are succulent with a structure similar to monocots and enlarge as the plant ages. Branching, when it occurs, is generally adventitious. These bulbils or suckers may be used to vegetatively reproduce cycads, either naturally (as in many species of Encephalartos) or horticulturally. Cycads have the largest apical meristem found in vascular plants, up to 3 mm across. Subterreanean cycads generally have contractile stems, another unique cycad feature, which permits the growing plant to maintain a subterreanean shoot apex.Many cycads are pollinated by insects, and their pollinators are in all cases from relatively primitive families. The few cycad species that have been studied are reliant on one or two insect species, typically beetles but including the oldest known bee genus (Trigona). Usually, the pollinators mate and lay eggs within the female cone. This evidence suggests that insect pollination predates the evolution of angiosperms and may date to the Permian.Cones, in members of all genera except Stangeria, produce heat when shedding pollen or receptive to pollination. Temperatures in the cones may exceed ambient levels by 1°C to 17°C. This heating may aid odor production and promote insect activity.Seeds are dispersed by gravity, water and animals. Gravitational dispersal is largely ineffective. Several species of Cycas have floating seeds that are dispersed long distances across the sea, while most inland species have seeds with a brightly colored sarcotesta (integument) and are dispersed by various animals. Evidently, the sarcotesta may be palatable while the seed is indigestible. In most species, the sarcotesta is nonpoisonous. Seed predation is primarily effected by insects and rodents (1).Cycads in general are fire-adapted, losing leaves to the blaze but soon restoring them in a growth flush. Cone production, coralloid root activity and foliage production may all be stimulated by frequent fire.Horticulture: See (1) for extensive comments.
Citations
(1) The current standard work is Jones 1993, a comprehensive and exceptionally well-illustrated work.
(2) Chamberlain 1919.
(3) Stevenson, D. Accessed 6-Jan-1999. A Formal Classification of the Cycads. Web page, address http://www.plantapalm.com/vce/classification.htm.See also:Species descriptions at the Palm and Cycad Societies of Australia home page.The Virtual Cycad Encyclopedia.Marshall et al. 1989.Norstog & Trevor 1997."
18,Cyperales,Cói,"Bộ Cói (danh pháp khoa học: Cyperales) là một bộ của thực vật một lá mầm (Monocotyledones  hay Liliopsida) chỉ chứa một họ duy nhất là họ Cói (Cyperaceae). Họ Hòa thảo (hay họ Lúa- danh pháp khoa học Poaceae) trước kia đã từng được đưa vào bộ này, nhưng hiện nay thông thường nó được tách ra thành bộ riêng, được gọi tương ứng là bộ Hòa thảo hay bộ Lúa (Poales). Đôi khi bộ Cói cũng được trộn lẫn với bộ Bấc (Juncales).Phân loại gần đây nhất (APG II, 2003) đưa cả hai họ Cói và họ Bấc (Juncaceae) vào trong bộ Hòa thảo, vì thế mà tên gọi bộ Cói đã trở thành lỗi thời.
[sửa] Đặc điểmCây thân cỏ sống lâu năm, ít khi một năm, thường mọc ở các chỗ ẩm ướt. Thân rễ nằm dưới đất, thân khí sinh không phấn đốt, tiết diện ngang hình tam giác hay hơi tròn. Lá có bẹ ôm lấy thân mọc ra từ gốc, hai mép của bẹ thường dính nhau thành ống: lá xếp thành ba dãy theo thân. Hoa nhỏ, mọc thành bông nhỏ ở kẻ một lá bắc, những bông nhỏ này lại tập hợp thành bông, chùm, chùy... Hoa lưỡng tính hay đơn tính, thụ phấn nhờ gió. Bao hoa rất giảm, dạng vảy khô xác hay dạng lông cứng, từ 1 đến 6 hay nhiều mảnh, có khi không có. Nhị 3, bao phấn đính gốc. Bộ nhụy gồm ba lá noãn hợp thành bầu trên, một ô chỉ chứa một noãn, một vòi và ba đầu nhụy dài. Quả đóng, hạt có nội nhũ bột bao quanh phôi. Bộ Cói có khoảng 70-95 chi với 3.800-4.000 loài, phân bố rộng rãi khắp nơi, đặc biệt là ở vùng ôn đới và hàn đới. Tại Việt Nam hiện biết 28 chi và trên 300 loài.Một số loàiQuan trọng nhất là cây cói (Cyperus malaccensis Lam.) mọc dại ở vùng nước lợ, tại Việt Nam hiện được trồng nhiều để dệt chiếu, bao tải, thảm, túi xách, làm đồ đan lát, mỹ nghệ.Một vài loài mọc dại phổ biến như:    * Củ gấu (Cyperus rotundus L.): cây cỏ nhỏ có thân rễ hình củ màu nâu đen. Đây là loài cỏ dại ăn hạt đất vườn, nhưng củ của nó được dùng làm thuốc chữa bệnh phụ nữ tốt.
    * Cỏ năn đốt (Eleocharis equisetina Perl.): thân tròn, có ngấn, cụm hoa hình tháp bút ờ ngọn. Thường gặp ở các ruộng chua hoặc bãi lầy.
    * Cỏ đầu ruồi (Fimbristylis monostachya Hassk. ex L.): thân khí sinh cứng, mọc thành búi ở đất chua, trảng cỏ, ven đường.
    * Cỏ bạc đầu (Kyllinga brevifolia Rottb.): cụm hoa hình đầu, màu rắng, thường mọc ở các bãi cỏ, bờ ruộng, lề đường."
19,Diapensiales,Nhạn mai,"Bộ này là các loài cây thân thảo hoặc cận cây bụi dị dưỡng nấm, kích thước trung bình, sống lâu năm. Lá đơn thường xanh, kích thước nhỏ hay trung bình, mọc so le, có cuống hay không cuống, không có lá kèm, mép lá nguyên. Hoa lưỡng tính, nhỏ hoặc trung bình với 2 lá bắc con, mọc đơn độc hoặc thành cụm dạng chùm hoa, có tràng hợp yếu, 5 nhị hoa với chỉ nhị dẹt mọc so le với 5 cánh hoa, các bao phấn uốn cong vào, có các nhị lép, núm nhụy 3 thùy ngắn. Bao hoa với tràng và đài hoa riêng biệt. Quả là dạng quả nang chẻ ngăn với các hạt nhỏ. Có sự tích lũy nhôm.Phân bố chủ yếu ở vùng ven Bắc cực và ôn đới Bắc bán cầu, đặc biệt là miền đông châu Á và Hoa Kỳ. Họ này không có loài nào sinh sống tại Việt Nam. Tên gọi nham mai là dịch theo tên gọi của nó trong tiếng Trung"
20,Dilleniales,Sổ,"Bộ Sổ (danh pháp khoa học: Dilleniales) là một bộ thực vật có hoa. Tên gọi này đã được sử dụng trong hệ thống Cronquist. Trong phiên bản năm 1981 của hệ thống này thì bộ (nằm trong phân lớp Sổ - Dilleniidae) có định nghĩa như sau:    * bộ Dilleniales          họ Dilleniaceae - họ Sổ
          họ Paeoniaceae - họ Mẫu đơnTrong hệ thống APG II (sử dụng trong Wikipedia) thì họ thứ nhất được đưa vào nhóm thực vật hai lá mầm thật sự (eudicots) nhánh hai lá mầm thực thụ phần lõi (core eudicots), không được xếp như là một bộ, còn họ thứ hai được đặt trong bộ Tai hùm (Saxifragales). Tuy nhiên, trên website của APG, truy cập ngày 23 tháng 4 năm 2009, người ta lại công nhận bộ này với chỉ 1 họ (họ Sổ), 10 chi và 300 loài."
